Clapeyron Database File,,,,
SAFTgammaMie Unlike Parameters [csvtype = unlike,grouptype = SAFTgammaMie]
species1,species2,epsilon,lambda_r,source
CH,H2O,275.75,,
CH,OH,198.08,,
CH,CH2OH,329.22,,
CH,CHOH,0,,
CH,C=,378.72,,
CH,aCCOOH,0,,
CH,aCNHaC,878.88,,
CH,CH3CO,321.91,,
C,cCH2,0,,
C,COO,0,,
C,H2O,420.82,,
C,OH,0,,
C,CH2OH,0,,
C,CHOH,0,,
aCH,aCCH2,416.69,,
aCH,aCCH,429.16,,
aCH,COOH,331.61,9.0687,
aCH,CH3COCH3,333.11,,
aCH~|~aCH_5,H2O,357.78,38.64,
aCH,CH2OH,386.05,,
aCH,CHOH,512.16,,
aCH~|~aCH_5,aCCH3~|~aCCH3_5,471.23,,
aCH,aCOH,448.75,,
aCH,aCCOOH,340.7,,
aCH,aCNHaC,549.72,,
aCH,CH3CO,426.72,18.03,
aCCH2,aCCH,462.04,,
aCCH2,COOH,473.66,,
aCCH2,CH3COCH3,394.83,,
aCCH2,H2O,329.03,,
aCCH2,CH2OH,434.37,,
aCCH2,CHOH,357.91,,
aCCH2,aCCOOH,168.69,,
aCCH2,CH3CO,663.71,30.712,
aCCH,COOH,599.28,,
aCCH,CH3COCH3,459.22,,
aCCH,H2O,314.03,,
aCCH,CH2OH,436.14,,
aCCH,CHOH,138.39,,
CH2=,CH=,275.75,,
CH2=,CH3COCH3,288.2,,
CH2=,H2O,387.25,94.463,
CH2=,CH2OH,375.51,,
CH2=,CHOH,449.83,,
CH2=,C=,203.76,,
CH=,cCH2,398.35,,
CH=,COOH,453.13,,
CH=,CH3COCH3,437.75,,
CH=,COO,818.79,,
CH=,H2O,332.21,17.309,
CH=,OH,625.17,,
CH=,CH2OH,414.91,,
CH=,CHOH,540.83,,
CH=,C=,1195.3,,
cCH2,CH3COCH3,352.19,,
cCH2,COO,498.6,,
cCH2,H2O,350.99,28,
cCH2,CO2,269.68,,
cCH2,OH,376.57,,
cCH2,CHOH,554.5,,
cCH2,NH2,332.15,,
cCH2,NH,549.43,,
cCH2,N+,650.24,,
cCH2~|~cCH2_5,cNH~|~cNH_5,605.45,,
cCH2~|~cCH2_5,cN~|~cN_5~|~cN_2,536.66,,
cCH2,C=,846.19,,
cCH2~|~cCH2_5,cCH,321.71,,
cCH2,cCHNH,486.88,,
cCH2,cCHN,750.06,,
cCH2,aCCOOH,389.9,,
cCH2,aCNHaC,564.85,,
COOH,CH3COCH3,393.71,,
COOH,H2O,289.76,,
COOH,CH2OH,488.18,,
COOH,C=,609.87,,
CH3COCH3,COO,547.44,,
CH3COCH3,H2O,287.26,,
CH3COCH3,OH,340.81,,
CH3COCH3,CH2OH,338.47,,
CH3COCH3,CHOH,340.81,,
CH3COCH3,C=,516.31,,
CH3COCH3,aCOH,389.74,,
CH3COCH3,aCCOOH,316.6,,
CH3COCH3,aCNHaC,261.23,8,
COO,H2O,396.81,15.14,
COO,OH,490.95,,
COO,C=,868.11,,
COO,aCCOOH,331.78,,
COO,aCNHaC,809.96,,
H2O,CH3OH,278.45,,
H2O,CH4,175.41,,
H2O,CO2,226.38,,
H2O,OH,375.92,,
H2O,CH2OH,353.37,,
H2O,CHOH,479.16,,
H2O,NH2,358.55,,
H2O,NH,646.1,13.195,
H2O,N+,1481.3,21.217,
H2O,cNH,523.83,8.4243,
H2O,cNH_5,411.87,8.0000,
H2O,cN,2990,66.109,
H2O,cN_5,699.99,58.067,
H2O,cN_2,1219.6,8.0012,
H2O,C=,310.91,8,
H2O,aCCH3~|~aCCH3_5,360.7,,
H2O,aCOH,238.77,8,
H2O,cCH,377.16,22.265,
H2O,cCHNH,855.01,32.132,
H2O,cCHN,1067.9,8.001,
H2O,aCCOOH,228.58,9.5614,
H2O,aCNH2,648.34,,
H2O,aN~|~aN_5,1117.8,100.,
H2O,aN2,374.59,71.687,
H2O,afC,248.439,100.,
H2O,afCp,200.12,42.249,
H2O,cCHOH,346.97,,
H2O,cCHOHn,392.72,,
H2O,cC=O,292.73,66.528,
H2O,cC=O_2,355.73,22.250,
H2O,cyO,525.86,10,
CH3OH,CH4,233.21,,
CH3OH,CO2,157.83,8.3462,
CH3OH,aCCOOH,290.16,8,
CH3OH,aCNHaC,398.1,,
CH4,CO2,144.72,11.95,
CH4,[CH3][OCH2],210.13,,
CH4,[CH2][OCH2],182.18,,
CO2,NH2,200.62,49.975,
CO2,NH,100.01,49.529,
CO2,N+,100.58,49.999,
CO2,cNH,80.101,39.706,
CO2,cN,90.102,35.343,
CO2,cCH,294.99,,
CO2,cCHNH,100.53,31.234,
CO2,[CH3][OCH2],327.31,,
CO2,[CH2][OCH2],283.78,,
OH,NH2,241.94,,
OH,NH,188.61,,
OH,N+,260.99,,
OH,C=,784.51,,
CH2OH,CHOH,389.23,,
CH2OH,NH2,528.21,52.305,
CH2OH,NH,313.25,,
CH2OH,N+,440.99,,
CH2OH,C=,799.66,,
CH2OH,aCCH3~|~aCCH3_5,486.62,,
CH2OH,aCOH,307.89,41.331,
CH2OH,aCCOOH,172.57,9.2665,
CH2OH,aCNHaC,485.03,8.0012,
CHOH,C=,245.07,,
CHOH,aCCH3,762.86,,
CHOH,aCCOOH,81.542,79.266,
CHOH,aCNHaC,451.48,8.181,
NH2,NH,381.98,,
NH2,cCHNH,101.61,,
cNH~|~cNH_5,cN~|~cN_5,812.26,,
aCCH3,aCCOOH,455.68,,
aCCH3,aCNHaC,941.03,,
aCCH3,CH3CO,552.62,36.429,
cCH,aCCOOH,246.61,,
aCCOOH,aCNHaC,102.98,,
aCCOOH,CH3CO,568.75,85,
aCNHaC,CH3CO,710.53,8,
cO,CH2OH,606.80,,
cO,H2O,350.09,14.872,
cO,CH2OE,325.94,10.054,
CH2OH,CH2OE,404.74,21.230,
CH2OE,H2O,283.38,11.885,
Na+,COO-,9.911,,
H2O,Na+,539.68,,
H2O,COO-,171.61,,
CH3,COO-,509.37,,
H2O,Cl-,95.406,,
Na+,Cl-,27.937,,
H2O,Br-,112.01,,
H2O,HCO3-,317.43,,
H2O,CO32-,317.43,,
H3O+,HCO3-,130.28,,
H3O+,CO32-,130.28,,
Ca2+,OH-,77.226,,
OH-,HCO3-,230.25,14.233,
OH-,CO32-,230.25,14.233,
H2O,Ca2+,1460.8,,
H2O,cCH2_5,150.00,100.,
H2O,PO43-~|~PO4-~|~phosphate,292.5402352750329,,
H2O,NH4+~|~ammonium,390.2670371916854,,
H2O,H3O+~|~hydronium,391.04,,
H2O,Li+,1023.1,,
CH3,aCH_5,556.95,19.801,
CH2~|~CH2OE,aCH_5,494.93,18.279,
CH2~|~CH2OE,aCNH2,261.98,11.077,
CH2~|~CH2OE,aN~|~aN2,975.05,100.,
CH2~|~CH2OE,aN_5,1193.7,11.000,
CH2~|~CH2OE,afC~|~afCp,709.778,10.100,
CH2~|~CH2OE,cCHOH~|~cCHOHn,398.89,,
CH2~|~CH2OE,cC=O~|~cC=O_2,618.41,77.074,
CH2~|~CH2OE,cNH_5,311.53,18.758,
CHOH~|~CH2OH~|~CH3OH,aCH_5,338.47,34.432,
CHOH~|~CH2OH~|~CH3OH,aCNH2,253.4,10.289,
CHOH~|~CH2OH~|~CH3OH,aN,768.84,10.353,
CHOH~|~CH2OH~|~CH3OH,aN_5,764.85,12.444,
CHOH~|~CH2OH~|~CH3OH,aN2,333.41,10.353,
CHOH~|~CH2OH~|~CH3OH,afC,517.83,10.042,
CHOH~|~CH2OH~|~CH3OH,afCp,356.37,10.042,
CHOH~|~CH2OH~|~CH3OH,H3O+,353.37,,
CH2OH,cCH2~|~cCH2_5,424.64,,
CH2OH,cCH,242.45,,
CHOH~|~CH2OH~|~CH3OH,cCHOH~|~cCHOHn,368.6,,
CHOH~|~CH2OH~|~CH3OH,cC=O_2,587.81,32.423,
CHOH~|~CH2OH~|~CH3OH,cC=O,676.05,29.890,
CHOH~|~CH2OH~|~CH3OH,cNH,250.60,100.,
CHOH~|~CH2OH~|~CH3OH,cNH_5,420.85,69.858,
CHOH~|~CH2OH~|~CH3OH,cN~|~cN_2,1096.0,,
CHOH~|~CH2OH~|~CH3OH,cN_5,251.36,100.,
aCH~|~aCH_5,aCNH2,505.33,60.125,
aCH~|~aCH_5,aN~|~aN2,1043.99,34.368,
aCH,aN_5,804.045,8,
aCH_5,aN_5,1399.4,20.305,
aCH,afC~|~afCp,489.49,8,
aCH_5,afC~|~afCp,1024.2,39.96,
aCH~|~aCH_5,cCHOH~|~cCHOHn,231.22,8,
aCH~|~aCH_5,cC=O~|~cC=O_2,723.73,100,
aCH~|~aCH_5,cyO~|~cO,525.47,33.429,
aCH~|~aCH_5,cNH,336.54,9.0,
aCH_5,cNH_5,245.44,8,
aCH,cNH_5,255.21,8,
aCH~|~aCH_5,cN~|~cN_5~|~cN_2,752.18,97.132,
aCCH3~|~aCCH3_5,aCNH2,478.37,19.762,
aCCH3~|~aCCH3_5,aN~|~aN2~|~aN_5,1283.5,30.202,
aCCH3,afC~|~afCp,759.983,8,
aCCH3_5,afC~|~afCp,1338.5,9.5861,
aCCH3~|~aCCH3_5,cCHOH~|~cCHOHn,247.3,8.,
aCCH3~|~aCCH3_5,cC=O~|~cC=O_2,754.42,100.,
aCCH3~|~aCCH3_5,cyO~|~cO,579.28,35.675,
aCCH3~|~aCCH3_5,cNH,306.21,8.6477,
aCCH3~|~aCCH3_5,cNH_5,589.92,100.,
aCCH3~|~aCCH3_5,cN~|~cN_5~|~cN_2,133.98,,
aCNH2,aN~|~aN_5~|~aN2,66.644,100.,
aCNH2,afC~|~afCp,484.53,8.,
aCNH2,cC=O~|~cC=O_2,306.63,,
aCNH2,cCHOH~|~cCHOHn,395.36,,
aCNH2,cyO~|~cO,512.25,,
aCNH2,cNH,708.36,8.3492,
aCNH2,cNH_5,400.34,93.295,
aCNH2,cN~|~cN_5~|~cN_2,708.36,8.3492,
aN~|~aN_5~|~aN2,afC~|~afCp,0.,,
aN~|~aN_5~|~aN2,cCH2~|~cCH2_5,880.86,30.,
aN~|~aN_5~|~aN2,cyO~|~cO,1419.9,100.,
aN~|~aN_5~|~aN2,cCHOH~|~cCHOHn,987.28,,
aN~|~aN_5~|~aN2,cNH~|~cNH_5,1884.3,8.,
aN~|~aN_5~|~aN2,cN~|~cN_5~|~cN_2,837.93,54.259,
afC~|~afCp,cC=O~|~cC=O_2,2689.3,12.800,
afC~|~afCp,cCHOH~|~cCHOHn,965.78,,
afC~|~afCp,cyO~|~cO,2000.,8.,
afC~|~afCp,cNH,2475.0,11.623,
afC~|~afCp,cNH_5,601.67,39.862,
afC~|~afCp,cN~|~cN_2~|~cN_5,174.51,33.045,
cCH2~|~cCH2_5,cCHOH~|~cCHOHn,377.75,,
cCH2~|~cCH2_5,cC=O~|~cC=O_2,553.89,40.,
cCH2_5,cC=O~|~cC=O_2,926.96,100.,
cCH2~|~cCH2_5,cyO~|~cO,535.27,100.,
cCH,cCHOH~|~cCHOHn,39.771,,
cCHOH~|~cCHOHn,cyO~|~cO,648.5,8.,
cCHOH~|~cCHOHn,cC=O~|~cC=O_2,488.28,,
cCHOH~|~cCHOHn,cNH~|~cNH_5,356.07,,
cCHOH~|~cCHOHn,cN~|~cN_2~|~cN_5,743.23,,
cC=O~|~cC=O_2,cyO~|~cO,1142.7,32.072,
cC=O~|~cC=O_2,cNH~|~cNH_5,524.93,,
cC=O~|~cC=O_2,cN~|~cN_5~|~cN_2,160.66,43.426,
cyO~|~cO,cNH~|~cNH_5,1079.76,,
cyO~|~cO,cN~|~cN_5~|~cN_2,799.55,,
cO,PO43-~|~PO4-~|~phosphate,1000.55,,
cNH~|~cNH_5,cN_2,804.85,88.736,
PO43-~|~PO4-~|~phosphate,Na+~|~sodium,883.1661653296969,,
PO43-~|~PO4-~|~phosphate,K+~|~potassium,8.024781214432222,,
PO43-~|~PO4-~|~phosphate,NH4+~|~ammonium,342.13902283147087,,
cC=O~|~cC=O_2,cCH=,692.9401407609139,40.,
cCH=,cCH2~|~cCH2_5,463.15302223186166,,
cCH=,cC=,369.08842476810037,,
cC=,cCH2~|~cCH2_5,411.29419784016164,,
cC=,CH3,500.,,
cCH=,H2O,142.504395893562,,
Li+,Cl-,8.2904,,
CH2OH,Cl-,1200.,,
CH2,cyO~|~cO,470.56,40,
CH2OE,cyO,470.56,40,
CHOH,cyO~|~cO,399.54,17.865,
CH2OH,cyO,399.54,17.865,
CH3OH,cyO~|~cO,399.54,17.865,
